	stockDate	high	low	open	close	volume
	2012-05-18	45	38	42.05	38.23	573576000
	2012-05-21	36.66	33	36.53	34.03	168193000
	2012-05-22	33.59	30.94	32.61	31	101787000
	2012-05-23	32.5	31.36	31.37	32	73600000
	2012-05-24	33.21	31.77	32.95	33.03	50237200
	2012-05-25	32.95	31.11	32.9	31.91	37149800
	2012-05-29	31.69	28.65	31.48	28.84	78063400
	2012-05-30	29.55	27.86	28.7	28.19	57267900
	2012-05-31	29.67	26.83	28.55	29.6	111639000
	2012-06-01	29.15	27.39	28.89	27.72	41855500
	2012-06-04	27.65	26.44	27.2	26.9	35230300
	2012-06-05	27.76	25.75	26.7	25.87	42473400
	2012-06-06	27.17	25.52	26.07	26.81	61489200
	2012-06-07	27.35	26.15	27	26.31	26159500
	2012-06-08	27.76	26.44	26.55	27.1	38034000
	2012-06-11	28.07	26.84	27.18	27.01	28219600
	2012-06-12	27.77	26.96	27.48	27.4	15816800
	2012-06-13	28.1	27.1	27.66	27.27	17102800
	2012-06-14	28.32	27.38	27.65	28.29	16855000
	2012-06-15	30.1	28.35	28.51	30.01	43563800
	2012-06-18	32.08	29.41	29.96	31.41	42978900
	2012-06-19	32.18	30.7	31.54	31.91	30849000
	2012-06-20	31.93	31.15	31.92	31.6	15553600
	2012-06-21	32.5	31.51	31.67	31.84	21875300
	2012-06-22	33.45	32.06	32.41	33.05	74834000
	2012-06-25	33.02	31.55	32.86	32.06	24352900
	2012-06-26	33.44	32.5	32.69	33.1	24858700
	2012-06-27	32.9	31.9	32.46	32.23	28568000
	2012-06-28	32.19	30.9	31.96	31.36	17713300
	2012-06-29	31.99	30.76	31.92	31.1	19526900
	2012-07-02	31.73	30.55	31.25	30.77	14122000
	2012-07-03	31.44	30.8	30.91	31.2	8763600
	2012-07-05	31.63	31.02	31.32	31.47	10032100
	2012-07-06	31.9	31.26	31.44	31.73	10945600
	2012-07-09	32.88	31.99	32.1	32.17	17785200
	2012-07-10	32.48	31.16	32.43	31.47	14269500
	2012-07-11	31.56	30.55	31.48	30.97	13030300
	2012-07-12	31.4	30.6	30.7	30.81	11300700
	2012-07-13	31.07	30.56	31.04	30.72	8108300
	2012-07-16	30.5	28.21	30.5	28.25	24672100
	2012-07-17	28.59	27.15	28.48	28.09	30438600
	2012-07-18	29.29	28.15	28.31	29.11	16841800
	2012-07-19	29.5	28.63	29.41	29	13685100
	2012-07-20	29.47	28.72	29	28.76	11869100
	2012-07-23	29	28.01	28.12	28.75	12390700
	2012-07-24	29.45	28.1	28.82	28.45	11539800
	2012-07-25	29.49	28.08	28.39	29.34	17230200
	2012-07-26	28.23	26.73	27.75	26.85	64597400
	2012-07-27	24.54	22.28	23.19	23.71	123102000
	2012-07-30	24.04	23.03	24	23.15	29285900
	2012-07-31	23.37	21.61	23.37	21.71	56179400
	2012-08-01	21.58	20.84	21.5	20.88	44604400
	2012-08-02	20.84	19.82	20.77	20.04	56374500
	2012-08-03	22.16	19.9	20.36	21.09	80647000
	2012-08-06	22.15	21.3	21.39	21.92	27778900
	2012-08-07	22.45	20.5	22.2	20.72	36782900
	2012-08-08	21.15	20.22	20.71	20.72	29537400
