	dailyDate	stockId	lastTradePrice	dividentYeild	perRatio
	2017-04-05 07:42:51	MSFT	66.3408	2.37	31.2192
	2017-04-05 07:48:24	MSFT	66.305	2.37	31.202
	2017-04-05 07:53:54	MSFT	66.295	2.37	31.198
	2017-04-05 07:59:24	MSFT	66.2646	2.37	31.1833
	2017-04-05 08:04:52	MSFT	66.16	2.37	31.13
	2017-04-05 08:10:22	MSFT	66.015	2.37	31.066
	2017-04-05 08:16:03	MSFT	65.99	2.37	31.05
	2017-04-05 08:21:34	MSFT	66.03	2.37	31.07
	2017-04-05 08:27:11	MSFT	65.975	2.37	31.047
	2017-04-05 08:32:40	MSFT	65.96	2.37	31.04
	2017-04-05 08:38:08	MSFT	65.84	2.37	30.98
	2017-04-05 08:43:37	MSFT	65.725	2.37	30.929
	2017-04-05 08:49:07	MSFT	65.49	2.37	30.82
	2017-04-05 08:54:38	MSFT	65.65	2.37	30.89
	2017-04-05 09:00:09	MSFT	65.7	2.37	30.92
	2017-04-05 09:05:39	MSFT	65.58	2.37	30.86
	2017-04-05 09:11:09	MSFT	65.63	2.37	30.88
	2017-04-05 09:16:51	MSFT	65.56	2.37	30.85
	2017-04-05 09:22:24	MSFT	65.56	2.37	30.85
	2017-04-05 09:27:55	MSFT	65.56	2.37	30.85
	2017-04-05 09:33:26	MSFT	65.56	2.37	30.85
	2017-04-05 09:38:54	MSFT	65.56	2.37	30.85
	2017-04-05 09:44:24	MSFT	65.56	2.37	30.85
	2017-04-05 09:49:53	MSFT	65.56	2.37	30.85
	2017-04-05 09:55:24	MSFT	65.56	2.37	30.85
	2017-04-05 10:00:54	MSFT	65.56	2.37	30.85
	2017-04-05 10:06:24	MSFT	65.56	2.37	30.85
	2017-04-05 10:12:00	MSFT	65.56	2.37	30.85
	2017-04-05 22:15:42	MSFT	65.56	2.37	30.85
	2017-04-05 22:21:11	MSFT	65.56	2.37	30.85
	2017-04-05 22:26:41	MSFT	65.56	2.37	30.85
	2017-04-05 22:32:20	MSFT	65.56	2.37	30.85
	2017-04-05 22:37:50	MSFT	65.56	2.37	30.85
	2017-04-05 22:43:21	MSFT	65.56	2.37	30.85
	2017-04-05 22:48:50	MSFT	65.56	2.37	30.85
	2017-04-05 22:54:24	MSFT	65.56	2.37	30.85
	2017-04-05 23:00:01	MSFT	65.56	2.37	30.85
	2017-04-05 23:05:33	MSFT	65.56	2.37	30.85
	2017-04-05 23:11:10	MSFT	65.56	2.37	30.85
	2017-04-05 23:16:40	MSFT	65.56	2.37	30.85
	2017-04-05 23:22:09	MSFT	65.56	2.37	30.85
	2017-04-05 23:27:55	MSFT	65.56	2.37	30.85
	2017-04-05 23:33:27	MSFT	65.56	2.37	30.85
